scenario,mois,date_calendrier,annee,mrr_total,arr,cogs_variables,marge_brute_eur,marge_brute_pct,couts_infra_outils,couts_rh_equipe,couts_fixes_hors_fondateur,salaire_fondateur_net,cout_fondateur_employeur,dividendes_fondateur_net,cout_total_mensuel,resultat_net,marge_nette_pct_mrr,taux_couverture_fixes,equipes,independants,point_mort
Leader Dual-Track (FR + EN/WT),106,sept. 2036,Y9,365529.0,4386348.0,48710.0,316819.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,223725.0,61.2,378.9,1497.7,9557.0,OUI
Leader Dual-Track (FR + EN/WT),107,oct. 2036,Y9,369052.0,4428627.0,49206.0,319846.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,226752.0,61.4,382.5,1510.6,9606.0,OUI
Leader Dual-Track (FR + EN/WT),108,nov. 2036,Y9,372577.0,4470927.0,49703.0,322875.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,74889.0,93093.0,229781.0,61.7,386.2,1523.4,9655.0,OUI
Leader Dual-Track (FR + EN/WT),109,déc. 2036,Y10,376104.0,4513248.0,50199.0,325905.0,86.7,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,232812.0,61.9,389.8,1536.2,9703.0,OUI
Leader Dual-Track (FR + EN/WT),110,jan. 2037,Y10,379633.0,4555591.0,50695.0,328938.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,235844.0,62.1,393.4,1548.8,9751.0,OUI
Leader Dual-Track (FR + EN/WT),111,fév. 2037,Y10,383163.0,4597954.0,51191.0,331972.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,77952.0,93093.0,238879.0,62.3,397.0,1561.5,9797.0,OUI
Leader Dual-Track (FR + EN/WT),112,mars 2037,Y10,386695.0,4640338.0,51687.0,335008.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,241914.0,62.6,400.7,1574.0,9844.0,OUI
Leader Dual-Track (FR + EN/WT),113,avr. 2037,Y10,390229.0,4682742.0,52183.0,338045.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,244952.0,62.8,404.3,1586.5,9889.0,OUI
Leader Dual-Track (FR + EN/WT),114,mai 2037,Y10,393764.0,4725166.0,52679.0,341085.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,81020.0,93093.0,247991.0,63.0,407.9,1598.9,9935.0,OUI
Leader Dual-Track (FR + EN/WT),115,juin 2037,Y10,397301.0,4767610.0,53175.0,344126.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,251032.0,63.2,411.6,1611.3,9979.0,OUI
Leader Dual-Track (FR + EN/WT),116,juil. 2037,Y10,400839.0,4810074.0,53671.0,347168.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,254075.0,63.4,415.2,1623.6,10023.0,OUI
Leader Dual-Track (FR + EN/WT),117,août 2037,Y10,404380.0,4852556.0,54167.0,350212.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,84093.0,93093.0,257119.0,63.6,418.9,1635.8,10067.0,OUI
Leader Dual-Track (FR + EN/WT),118,sept. 2037,Y10,407921.0,4895058.0,54663.0,353258.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,260165.0,63.8,422.5,1647.9,10109.0,OUI
Leader Dual-Track (FR + EN/WT),119,oct. 2037,Y10,411465.0,4937578.0,55159.0,356305.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,0.0,93093.0,263212.0,64.0,426.2,1660.0,10152.0,OUI
Leader Dual-Track (FR + EN/WT),120,nov. 2037,Y10,415010.0,4980117.0,55655.0,359354.0,86.6,37760.0,45850.0,83610.0,5000,9333.0,87171.0,93093.0,266261.0,64.2,429.8,1672.1,10194.0,OUI
